Document Type,Provider,AHCA Case Number,Formal/Informal Case Number,Date_Rendered
Settlement Agreements,Riverfront Nursing and Rehabilitation Center,"F0215-0755-001, F0315-0730-001, F0415-0733-001, F0515-0675-001",15-348PH,9/14/2016
Settlement Agreements,Robert Klein MD,"CI 14-1367-000, 2015-0002850",,9/23/2015
Settlement Agreements,Ruby White-Thompson,2013005665,,7/9/2013
Defaults and Dismissals,Ruthe Guillaury,2015006617,,6/2/2016
Defaults and Dismissals,Select Specialty Hospital Gainesville Inc,2015009990,,1/29/2016
Settlement Agreements,"Senior Living Properties V, LLC d/b/a Savannah Cove",2008005860,,8/12/2008
Defaults and Dismissals,Seniors Palace Inc,2017-0007705,,2/23/2018
Miscellaneous Orders,Signature Healthcare of Orange Park,2017012485,,11/14/2017
Defaults and Dismissals,Skipper Road Cluster,DD13-022C,,9/18/2015
Defaults and Dismissals,Smiley Face,2019-0017270,,12/20/2019
Defaults and Dismissals,Southwest Florida Reg Med Center,2008012000; 10-0220,,10/29/2008
Settlement Agreements,"Southwest Florida, LLC",2012004266,15-528PH,12/7/2012
Settlement Agreements,Sovereign Healthcare of Atlantic Shores LLC d/b/a Atlantic,2008006648; 2008006649,,8/14/2008
Settlement Agreements,"St. Joseph Hospital of Port Charlotte, Florida, Inc",,96-4987,10/27/1997
Defaults and Dismissals,Sunland Center Marianna IV,DD13-032C,,9/18/2015
Defaults and Dismissals,Sunland Center Marianna V,DD13-033C,,9/18/2015
Settlement Agreements,"Sunrise Home Health and Supplies, LLC",2007012259,08-1466,7/24/2008
Defaults and Dismissals,Surrey Place Healthcare and Rehabilitation,NH14-130C,,7/5/2016
Defaults and Dismissals,Suwannee Health and Rehabilitation Center,"NH17-043C, 2019003766",,9/5/2019
Defaults and Dismissals,Suze Montrose,2015008294,16-87PH,8/4/2016
Defaults and Dismissals,Tallahassee Community Hospital,02-00-050-HOSP,,7/6/2001
Defaults and Dismissals,Tampa Bay Surgery Center,2008007085,,8/13/2008
Defaults and Dismissals,Tandem Health Care of Safety Harbor Inc,NH17226,,11/17/2016
Miscellaneous Orders,The Commons at Orlando Lutheran Towers,2019007854,,6/28/2019
Defaults and Dismissals,The Freedom Fighter Corporation,11-01-0033-HME,,2/28/2001
Defaults and Dismissals,Touched By Faith Inc,2017-0007818,,2/23/2018
Defaults and Dismissals,Tropical Garden Villas Inc,2016-0005952,,6/24/2016
Defaults and Dismissals,Veronica Charles,2008007408,,8/12/2008
Defaults and Dismissals,vjm Just Clean Cleaning And Concierge Services,2013000652,,3/15/2013
Defaults and Dismissals,Westside Regional Medical Center,"CI 13-0078-000, 2015-0001961",,9/23/2015
Settlement Agreements,Woodlands Nursing Center,06-92-194-NH,92-5747,2/11/1993
Settlement Agreements,"WT Holding, Inc, dba Aries Retirement Living",9-92-107-ACLF; 9-92-127-ACLF,92-2415; 92-2414,9/10/1992
Settlement Agreements,Zimmer Biomet Irvine,2016008129,16-430PH,9/29/2016
Defaults and Dismissals,"""A"" Class Home Health, Inc.",2005010188,,2/21/2006
